company,total_layoffs,impacted_workforce_percentage,reported_date,industry,headquarter_location,sources,status,additional_notes
C2FO,20,2,2022-12-09,"Fintech, payments","Leawood, KS",Kansas City Business Journal,Private,
VideoAmp,Unclear,2,2022-09-19,Advertising platforms,Los Angeles,Company memo,Private,
Amperity,13,3,2022-08-20,"Saas, analytics",Seattle,Geekwire,Private,
Addepar,20,3,2023-01-18,"fintech, data analytics","Mountain View, CA",Fortune,Private,
Thirty Madison,24,3,2022-05-13,Health Care,New York,Axios,Private,"Per Axios, 22 of the employees laid off were from Thirty Madison, and two were from new parent company Nurx. Layoffs affected around 3% of employees."
NextRoll,Unclear,3,2022-07-08,Marketing Tech,San Francisco,Business Insider,Private,
Armis Security,25,4,2022-12-08,Cybersecurity,San Francisco,Calcalistech,Private,
Foxtrot,26,4,2022-09-23,"food and beverage, e-commerce",Chicago,Chicago Business,Private,
Headspace Health,50,4,2022-12-14,"telehealth, wellness",Los Angeles,Bloomberg,Private,
RealSelf,11,5,2022-07-21,Beauty tech,Seattle,GeekWire,Private,
New Relic,110,5,2022-08-18,"productivity, enterprise software","Bay Area, CA",MarketWatch,Private,
Abra,12,5,2022-06-30,Crypto,Mountain View,The Block,Private,
Clarify Health,15,5,2022-07-22,Health Care,San Francisco,Axios,Private,
Argo AI,150,5,2022-07-07,Transportation,Pittsburgh,TechCrunch,Private,
Snyk,220,5,2022-10-24,Cybersecurity,Boston,Globes,Private,
JOKR,50,5,2022-06-16,"Food delivery, ecommerce",New York,TechCrunch,Private,
Project44,63,5,2022-07-15,Logistics,Chicago,FreightWaves,Private,
Reef,750,5,2022-05-06,"Food delivery, ecommerce",Miami,The Information,Private,
Outreach,Unclear,5,2022-08-02,Sales Tech,Seattle,LinkedIn,Private,
Boosted Commerce,Unclear,5,2022-07-25,E-commerce,Los Angeles,Business Insider,Private,
Forward,Unclear,5,2022-07-11,Health Care,San Francisco,Fierce Healthcare,Private,
CoinDCX,100,6,2023-01-11,"Blockchain, cryptocurrency","Mumbai, India",Biometric Update,Private,
Food52,20,6,2022-04-08,"Media, E-commerce",New York,Digiday,Private,
Motive,237,6,2022-12-07,"enterprise software, productivity",San Francisco,Motive,Private,
Canoo,58,6,2022-07-01,Transportation,"Torrance, California",Business Insider,Private,
Wonder,130,7,2022-11-30,"Food delivery, ecommerce",New York,The Information,Private,
Argyle,20,7,2022-08-26,InsurTech,New York,TechCrunch,Private,
